pk,name,category,direct_parents
10774,Gordo,other,1074
10775,McMullen,other,1074
10776,Ethelsville,other,1074
10777,Aliceville,other,1074
10778,Carrollton,other,1074
10779,Pickensville,other,1074
10780,Macedonia,other,1074
10781,Hammondville,other,1075
10782,Ider,other,1075
10783,Crossville,other,1075
10784,Lakeview,other,1075
10785,Geraldine,other,1075
10786,Powell,other,1075
10787,Shiloh,other,1075
10788,Sylvania,other,1075
10789,Valley Head,other,1075
10790,Collinsville,other,"2516,1075"
10791,Henagar,other,1075
10792,Pine Ridge,other,1075
10793,Fort Payne,other,1075
10794,Sand Rock,other,"2516,1075"
10795,Rainsville,other,1075
10796,Mentone,other,1075
10797,Fyffe,other,1075
10798,Bouse,other,1076
10799,La Paz Valley,other,1076
10800,Parker,other,1076
10801,Quartzsite,other,1076
10802,Vicksburg,other,1076
10803,Brenda,other,1076
10804,Utting,other,1076
10805,Salome,other,1076
10806,Wenden,other,1076
10807,Sunwest,other,1076
10808,Ehrenberg,other,1076
10809,Cibola,other,1076
10810,Cienega Springs,other,1076
10811,Alamo Lake,other,1076
10812,Bluewater,other,1076
10813,Poston,other,1076
10814,Parker Strip,other,1076
10815,Fouke,other,1077
10816,Garland,other,1077
10817,Genoa,other,1077
10818,Texarkana,other,1077
10819,Lake View,other,1078
10820,Poplar Grove,other,1078
10821,Mellwood,other,1078
10822,Oneida,other,1078
10823,Elaine,other,1078
10824,Lexa,other,1078
10825,Marvell,other,1078
10826,Helena-West Helena,other,1078
10827,Halley,other,1079
10828,Mitchellville,other,1079
10829,Tillar,other,"1079,4092"
10830,Dumas,other,1079
10831,Arkansas City,other,1079
10832,Reed,other,1079
10833,McGehee,other,1079
10834,Watson,other,1079
10835,Calipatria,other,1080
10836,Bombay Beach,other,1080
10837,Seeley,other,1080
10838,Salton Sea Beach,other,1080
10839,Palo Verde,other,1080
10840,Calexico,other,1080
10841,Brawley,other,1080
10842,Imperial,other,1080
10843,Winterhaven,other,1080
10844,Niland,other,1080
10845,Ocotillo,other,1080
10846,El Centro Naval Air Facility,other,1080
10847,El Centro,other,1080
10848,Heber,other,1080
10849,Salton City,other,1080
10850,Westmorland,other,1080
10851,Holtville,other,1080
10852,Desert Shores,other,1080
10853,Pajaro Dunes,other,1081
10854,Rio del Mar,other,1081
10855,Freedom,other,1081
10856,Twin Lakes,other,"1081,1306"
10857,Brookdale,other,1081
10858,Seacliff,other,1081
10859,Paradise Park,other,1081
10860,Santa Cruz,other,1081
10861,La Selva Beach,other,1081
10862,Zayante,other,1081
10863,Live Oak,other,"1081,1437"
10864,Watsonville,other,1081
10865,Davenport,other,1081
10866,Mount Hermon,other,1081
10867,Pasatiempo,other,1081
10868,Aptos Hills-Larkin Valley,other,1081
10869,Bonny Doon,other,1081
